,,hex,,,,,LVDS2mLVDS,eDP2mLVDS,LVDS2eDP,RGB2eDP,LVDS2mLVDS(Hex),eDP2mLVDS(Hex),LVDS2eDP(Hex),RGB2eDP(Hex),,,,
start_ctr,7:0,0,0,0,ana_resetb,1,00100001,00100001,10110001,10110001,21,21,B1,B1,,,,
,,,1,1,pwd_pll,0,,,,,0,0,00,0,,,,
,,,2,2,pwd_bg,0,,,,,0,0,00,0,,,,
,,,3,3,recal,0,,,,,0,0,00,0,,,,
,,,4,4,lowbandb,0,,,,,0,0,00,0,,,,
,,,5,5,bg_filter,1,,,,,0,0,00,0,,,,
,,,6,6,fcoar_int.MSB,0,,,,,0,0,00,0,,,,
,,,7,7,fdiv56,0,,,,,0,0,00,0,,,,
pll_ctr,7:0,1,,,fdiv_frac<7:0>,,00000000,00000000,10001110,00000000,0,0,8E,0,,,,
,,2,1-0,1-0,fdiv_frac<9:8>,00,10011000,10011000,01011011,10011000,98,98,5B,98,,,,
,,,7-2,7-2,fdiv_int,100110,,,,,0,0,00,0,,,,
,,3,3-0,3-0,kprop,0001,00100001,00100001,00100001,00100001,21,21,21,21,,,,
,,,7-4,7-4,kcoar,0010,,,,,0,0,00,0,,,,
,31-24,4,31-24,,kint,,00001000,00001000,00001000,00001000,8,8,08,8,,,,
,39-32,5,37-32,5-0,ffrac_mask,000001,10000001,10000001,11000001,11000001,81,81,C1,C1,,,,
,,,38,6,halfrate,0,,,,,0,0,00,0,,,,
,,,39,7,vcofilter,1,,,,,0,0,00,0,,,,
,47-40,6,47-40,,ssc_amp<7:0>,,01001111,01001111,00000000,01001111,4F,4F,00,4F,,,,
,55-48,7,49-48,1-0,ssc_amp<9:8>,00,01110000,01110000,00000000,01110000,70,70,00,70,,,,
,,,55-50,7-2,ssc_freq,011100,,,,,0,0,00,0,,,,
,63-56,8,58-56,2-0,lock_th,011,01000011,01000011,01000011,01000011,43,43,43,43,,,,
,,,63-59,7-3,lock_time<4:0>,01000,,,,,0,0,00,0,,,,
,71-64,9,64,0,lock_time<5>,0,00000000,00000000,00000000,00000000,0,0,00,0,,,,
,,,69-65,5-1,fcoar_int<4:0>,00000,,,,,0,0,00,0,,,,
,,,70,6,calvalid_int,0,,,,,0,0,00,0,,,,
,,,71,7,NC,0,,,,,0,0,00,0,,,,
,79-72,a,72,0,test_bg,0,10100010,10100010,10100010,10100010,A2,A2,A2,A2,,,,
,,,73,1,test_clk,1,,,,,0,0,00,0,,,,
,,,74,2,test_refsel,0,,,,,0,0,00,0,,,,
,,,75,3,fbak,0,,,,,0,0,00,0,,,,
,,,77-76,5-4,ck_protocal_lowpulsewb,10,,,,,0,0,00,0,,,,
,,,79-78,7-6,ck_scaler_lowpulsewb,10,,,,,,,00,,,,,
,,,,,,,,,,,,,00,,,,,
